DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
3002.0,0.281,158.56,0.424,3.65,0.0,2.56,2.232,123.67,1457.8146,10868.7765,291.7281,44.8673,34.4659,353.6893,0.0726,3.2747,11.5921,0.0038,0.0812,0.2553,
3002.5,0.287,162.87,0.432,3.68,0.0,2.49,2.22,125.0,1842.8718,14271.6061,242.7789,65.3949,48.0166,445.5787,0.0837,4.6052,18.8135,0.0038,0.0848,0.2904,
3003.0,0.292,157.93,0.431,3.63,0.0,2.4,2.211,124.74,1655.0639,11605.861,238.1802,71.7835,59.2684,541.7171,0.099,3.7625,15.4606,0.0049,0.0963,0.2981,
3003.5,0.297,149.56,0.422,3.53,0.0,2.33,2.203,123.29,1237.4217,7589.323,258.0057,67.5844,68.9787,652.5577,0.11,2.3093,8.3626,0.0077,0.1208,0.2858,
3004.0,0.3,139.11,0.414,3.46,0.0,2.27,2.198,121.87,961.6529,5411.4638,281.9637,62.1488,75.2815,738.2684,0.1347,1.62,5.1067,0.0115,0.1503,0.2804,
3004.5,0.302,130.15,0.409,3.45,0.36,2.2,2.193,121.05,824.3632,322.0615,1002.4848,1434.6742,1561.8346,912.1546,6.8573,0.5768,0.5378,0.0942,0.1533,0.282,21.267162322998047
3005.0,0.306,123.05,0.413,3.48,0.0,2.2,2.187,121.21,954.3318,6254.2929,261.1142,75.5821,99.779,898.2473,0.233,1.8689,5.6668,0.0168,0.1992,0.2964,
3005.5,0.309,115.73,0.427,3.51,0.0,2.2,2.181,122.8,1027.5724,7965.3461,218.41,113.0167,127.655,947.2936,0.3098,2.4584,8.6981,0.0145,0.1945,0.3232,
3006.0,0.309,111.42,0.445,3.5,0.0,2.22,2.181,124.95,1064.4412,8403.9304,198.4924,166.2655,146.5277,886.9391,0.3382,2.8861,11.7981,0.0101,0.1614,0.3454,
3006.5,0.301,112.94,0.445,3.45,0.0,2.35,2.193,124.93,1129.3691,7745.0428,287.3824,151.9927,115.359,735.7303,0.2301,2.2781,9.1554,0.0075,0.1484,0.3663,
3007.0,0.293,120.72,0.434,3.38,0.0,2.41,2.204,123.71,995.1248,5442.9316,413.0432,107.5438,84.6564,645.9768,0.1402,1.4049,5.2284,0.0075,0.1546,0.3833,
