DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR,K_SDR_PRE
4010.0,0.109,105.09,87.46,0.249,2.79,0.192,1.6,2.523,0.5417,0.4978,0.9284,1.5266,1.1216,0.7513,0.0502,0.0767,0.0529,0.1895,0.1165,0.0291,0.125896695,0.044728487730026245
4010.5,0.12,108.37,93.61,0.285,2.78,0.219,1.5,2.505,0.973,0.9841,1.1483,3.062,1.7139,0.8775,0.1168,0.2344,0.1477,0.5356,0.397,0.0371,0.185402199,0.06338633596897125
4011.0,0.132,110.12,99.43,0.31,2.79,0.238,1.34,2.485,1.6382,1.4969,1.2115,3.5522,2.0607,1.2157,0.2317,0.4912,0.3051,1.0382,0.7947,0.0634,0.175608542,0.09069397300481796
4011.5,0.142,108.44,101.27,0.309,2.81,0.241,1.27,2.466,1.7112,1.0762,1.0212,2.2295,1.9314,1.954,0.2523,0.3957,0.289,0.5798,0.457,0.0964,0.177341918,0.11508521437644958
4012.0,0.134,106.66,94.88,0.293,2.87,0.228,1.28,2.48,1.3245,0.7407,0.8545,1.5338,1.4873,1.5168,0.1689,0.2663,0.2004,0.357,0.2522,0.0678,0.221419216,0.0688968300819397
4012.5,0.123,105.35,90.82,0.281,2.9,0.217,1.36,2.5,0.9315,0.5712,0.7379,1.2658,1.1727,1.017,0.1064,0.1666,0.1272,0.2446,0.1616,0.0423,0.344363224,0.056844692677259445
4013.0,0.116,104.5,90.49,0.278,2.9,0.213,1.46,2.512,0.7394,0.524,0.6866,1.181,1.0339,0.7854,0.0826,0.1159,0.0913,0.1874,0.1299,0.032,0.345777244,0.05303863435983658
4013.5,0.119,103.07,91.06,0.275,2.85,0.212,1.58,2.506,0.6314,0.4489,0.6423,1.0177,0.9092,0.9161,0.0778,0.0745,0.0709,0.1146,0.0897,0.0372,0.297223533,0.05550776794552803
4014.0,0.122,103.0,89.19,0.275,2.79,0.213,1.7,2.502,0.625,0.4716,0.6968,1.1502,0.9271,1.0174,0.0837,0.0657,0.0669,0.1042,0.0884,0.0412,0.242413302,0.05886346846818924
4014.5,0.126,102.4,87.66,0.269,2.78,0.21,1.56,2.495,0.6274,0.4291,0.6868,0.9274,0.9354,1.2528,0.08,0.0643,0.0676,0.0978,0.0767,0.0507,0.233563649,0.05827837809920311
