DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3141.5,8.23,0.289,101.26,109.74,0.35,4.47,0.321,3.33,1.092,2.216,91.29,21.737539291381836,0.03369946777820587
3142.0,8.2,0.299,101.06,115.03,0.306,4.45,0.303,2.95,1.064,2.199,91.52,13.854870796203613,0.03319679945707321
3142.5,8.19,0.294,100.67,114.65,0.328,4.42,0.311,3.39,1.127,2.207,91.76,8.546881675720215,0.026471510529518127
3143.0,8.19,0.278,100.58,129.39,0.325,4.37,0.302,3.9,1.18,2.235,92.33,0.001194789889268577,0.02702682837843895
3143.5,8.18,0.268,100.31,119.57,0.303,4.32,0.286,3.56,1.183,2.252,92.5,0.020731331780552864,0.026933390647172928
3144.0,8.2,0.269,100.3,108.98,0.326,4.28,0.299,3.22,1.147,2.25,92.66,2.3716115951538086,0.02751617506146431
3144.5,8.19,0.272,100.12,105.2,0.327,4.28,0.301,3.0,1.134,2.245,92.73,6.334550380706787,0.033325791358947754
3145.0,8.12,0.268,100.36,116.92,0.358,4.3,0.316,3.17,1.209,2.251,93.13,2.7292635440826416,0.03018379956483841
3145.5,8.11,0.263,100.59,127.88,0.377,4.33,0.325,3.82,1.296,2.261,93.42,1.945979118347168,0.030066397041082382
3146.0,8.16,0.259,99.73,130.53,0.306,4.36,0.283,4.36,1.385,2.267,93.75,0.020258815959095955,0.028194913640618324
3146.5,8.16,0.262,98.85,107.47,0.301,4.4,0.282,4.18,1.361,2.261,93.75,2.53292179107666,0.025954820215702057
3147.0,8.15,0.265,97.69,103.69,0.279,4.43,0.272,3.61,1.278,2.256,94.02,12.53274154663086,0.03296123445034027
3147.5,8.19,0.265,97.43,87.43,0.298,4.46,0.282,2.97,1.192,2.257,94.42,1394.172119140625,0.09180841594934464
3148.0,8.19,0.261,98.17,93.2,0.302,4.47,0.282,2.93,1.213,2.265,95.23,559.1591796875,0.09612897783517838
3148.5,8.19,0.248,101.25,104.07,0.312,4.46,0.282,3.6,1.339,2.287,95.7,13.717148780822754,0.04753262177109718
3149.0,8.16,0.25,103.47,134.68,0.347,4.44,0.302,4.26,1.459,2.283,96.17,1.975544810295105,0.032720983028411865
3149.5,8.13,0.258,104.14,149.05,0.355,4.41,0.31,4.0,1.438,2.27,96.25,2.358553886413574,0.03253540024161339
3150.0,8.12,0.267,103.98,121.08,0.302,4.37,0.285,3.5,1.384,2.254,96.25,1.4230622053146362,0.030767418444156647
3150.5,8.18,0.261,102.25,127.12,0.286,4.34,0.274,3.54,1.41,2.264,96.25,1.1123005151748657,0.031280115246772766
3151.0,8.19,0.25,100.25,96.88,0.298,4.31,0.275,3.44,1.424,2.282,96.37,9.905598640441895,0.04187434911727905
3151.5,8.22,0.246,99.43,107.47,0.296,4.29,0.272,3.56,1.423,2.29,96.54,2.4957468509674072,0.03223901987075806
3152.0,8.2,0.245,99.48,89.32,0.276,4.28,0.261,3.83,1.437,2.291,96.87,4.590778350830078,0.035063955932855606
3152.5,8.18,0.247,100.44,112.0,0.286,4.25,0.267,3.77,1.46,2.288,96.87,0.9337953925132751,0.029966779053211212
3153.0,8.12,0.251,100.97,121.45,0.29,4.23,0.271,3.87,1.486,2.281,96.87,1.007874846458435,0.029825562611222267
3153.5,8.11,0.253,102.36,106.71,0.309,4.22,0.282,4.13,1.498,2.278,96.87,0.7581333518028259,0.026879511773586273
3154.0,8.12,0.251,101.97,115.03,0.281,4.22,0.266,4.78,1.538,2.281,96.87,0.001782985869795084,0.02634846232831478
3154.5,8.12,0.246,100.18,110.87,0.274,4.25,0.26,3.82,1.43,2.29,96.56,0.7556394934654236,0.02907615900039673
3155.0,8.14,0.245,99.25,94.62,0.3,4.28,0.274,3.14,1.301,2.292,96.87,27.096677780151367,0.05569126084446907
3155.5,8.13,0.25,99.11,84.13,0.279,4.31,0.265,2.78,1.266,2.282,96.87,180.05384826660156,0.09847500920295715
3156.0,8.15,0.257,99.26,108.23,0.279,4.34,0.268,3.36,1.38,2.271,97.15,4.389312267303467,0.03733325004577637
3156.5,8.15,0.259,99.29,89.7,0.292,4.38,0.276,3.63,1.441,2.267,97.67,92.19234466552734,0.053914379328489304
3157.0,8.12,0.251,100.45,84.79,0.317,4.41,0.286,3.48,1.381,2.281,97.85,243.011962890625,0.08450416475534439
3157.5,8.11,0.235,101.15,108.6,0.29,4.45,0.264,3.46,1.398,2.308,98.13,11.526498794555664,0.05053962767124176
3158.0,8.07,0.223,100.95,119.57,0.306,4.46,0.268,3.42,1.399,2.33,98.52,7.755763053894043,0.03632466495037079
3158.5,8.06,0.217,101.78,124.48,0.303,4.45,0.264,3.54,1.399,2.339,98.36,3.2251453399658203,0.03390878811478615
3159.0,8.07,0.221,102.66,128.64,0.282,4.44,0.253,3.56,1.428,2.332,97.85,1.7050000429153442,0.03414064273238182
3159.5,8.07,0.227,102.23,123.34,0.266,4.41,0.247,3.62,1.443,2.322,97.29,1.3121659755706787,0.03559117764234543
3160.0,8.03,0.231,102.18,118.81,0.321,4.36,0.28,3.56,1.415,2.316,96.87,1.9965839385986328,0.03673426806926727
3160.5,8.02,0.238,101.68,108.6,0.319,4.33,0.281,3.62,1.373,2.302,95.98,2.2823991775512695,0.033912934362888336
3161.0,8.02,0.245,100.0,92.35,0.274,4.36,0.26,3.55,1.305,2.291,95.39,10.110847473144531,0.04175526276230812
3161.5,8.07,0.253,98.65,97.07,0.299,4.42,0.277,3.35,1.223,2.278,94.73,53.94150924682617,0.052465103566646576
3162.0,8.06,0.261,98.64,92.16,0.281,4.44,0.271,3.23,1.163,2.263,94.0,124.61235046386719,0.056173793971538544
3162.5,8.05,0.275,98.93,89.32,0.3,4.43,0.288,3.23,1.138,2.24,93.75,363.8880615234375,0.05317211151123047
3163.0,8.03,0.288,100.4,80.25,0.38,4.42,0.337,3.1,1.105,2.217,93.75,3158.874267578125,0.12036234140396118
3163.5,8.01,0.288,100.68,87.06,0.331,4.4,0.31,3.08,1.118,2.218,93.75,663.1009521484375,0.056250493973493576
3164.0,8.03,0.275,100.69,99.15,0.294,4.39,0.285,3.5,1.166,2.24,93.79,10.895262718200684,0.03451213240623474
3164.5,8.06,0.261,100.75,110.81,0.299,4.38,0.281,3.7,1.218,2.263,93.75,1.7768265008926392,0.027191216126084328
3165.0,8.08,0.261,100.42,107.09,0.296,4.37,0.279,3.25,1.191,2.263,93.83,4.305893421173096,0.03464389592409134
3165.5,8.07,0.269,101.19,99.53,0.339,4.39,0.306,3.09,1.176,2.25,94.26,50.96896743774414,0.054159630089998245
3166.0,8.06,0.272,102.81,110.87,0.33,4.43,0.302,3.25,1.221,2.245,94.37,7.7464919090271,0.040461648255586624
3166.5,8.11,0.269,103.92,125.99,0.342,4.48,0.308,3.41,1.286,2.249,94.3,2.802953004837036,0.03387615829706192
3167.0,8.03,0.265,103.9,122.97,0.345,4.53,0.308,3.48,1.28,2.257,93.75,4.024287700653076,0.03578399494290352
3167.5,8.03,0.264,103.46,102.18,0.325,4.59,0.296,3.13,1.184,2.258,93.24,88.17334747314453,0.07829664647579193
3168.0,8.04,0.261,100.56,89.32,0.302,4.65,0.282,3.04,1.14,2.265,92.66,1333.166259765625,0.12426862120628357
3168.5,8.02,0.254,98.04,83.65,0.379,4.71,0.323,2.94,1.12,2.275,92.3,3083.295654296875,0.24159736931324005
3169.0,8.0,0.248,96.95,75.34,0.327,4.76,0.29,2.94,1.074,2.286,91.71,24606.701171875,0.2974776029586792
3169.5,7.96,0.252,94.54,54.93,0.329,4.82,0.293,2.63,1.019,2.279,91.25,319903.46875,0.6980555057525635
3170.0,7.94,0.263,95.09,44.72,0.342,4.87,0.305,2.42,0.974,2.26,90.9,59917.0390625,0.7047944664955139
3170.5,7.95,0.279,96.33,64.75,0.376,4.9,0.331,2.84,1.021,2.233,90.98,105304.8046875,0.48712193965911865
3171.0,7.96,0.283,97.75,77.23,0.407,4.86,0.351,3.41,1.064,2.226,90.9,9134.0927734375,0.20225420594215393
3171.5,7.96,0.279,99.25,86.68,0.413,4.8,0.352,3.91,1.099,2.232,91.21,1830.9005126953125,0.10022866725921631
3172.0,7.95,0.271,98.81,75.72,0.402,4.78,0.343,3.73,1.087,2.247,90.87,6578.43701171875,0.1296425610780716
3172.5,8.01,0.265,98.5,74.27,0.372,4.88,0.323,3.51,1.065,2.257,90.66,15228.7080078125,0.2174091637134552
3173.0,7.94,0.267,96.75,61.35,0.393,4.99,0.336,2.89,1.02,2.254,90.51,28709.083984375,0.7367098927497864
3173.5,7.93,0.265,96.06,51.9,0.371,4.98,0.322,2.62,0.988,2.257,90.63,25169.8203125,1.0579298734664917
3174.0,7.8,0.266,96.38,68.15,0.363,4.89,0.318,2.92,1.04,2.256,90.9,58343.15234375,0.4576806426048279
3174.5,7.87,0.263,97.13,72.69,0.375,4.79,0.324,3.13,1.088,2.26,91.25,21989.986328125,0.27324458956718445
3175.0,7.93,0.265,97.17,95.75,0.362,4.72,0.317,3.17,1.142,2.256,91.29,1715.6903076171875,0.12527243793010712
3175.5,7.93,0.266,98.07,87.43,0.298,4.68,0.282,3.12,1.117,2.255,91.56,4692.74755859375,0.1138448640704155
3176.0,7.94,0.271,99.33,92.73,0.298,4.65,0.285,3.1,1.148,2.247,91.72,1399.362548828125,0.09074428677558899
3176.5,7.94,0.275,101.18,110.11,0.306,4.62,0.291,3.49,1.258,2.241,91.88,34.429508209228516,0.041415754705667496
3177.0,7.9,0.282,104.61,137.71,0.365,4.61,0.326,3.87,1.327,2.228,91.88,4.192529201507568,0.029926495626568794
3177.5,7.9,0.285,105.67,145.65,0.387,4.62,0.34,3.99,1.315,2.222,91.72,3.569754123687744,0.030300209298729897
3178.0,7.89,0.286,105.62,143.76,0.359,4.67,0.325,3.52,1.224,2.221,91.25,5.411900997161865,0.03205880522727966
