DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE,K_GD_N_PRE
2424.5,11.26,0.448,-999.25,85.43,0.667,2.82,0.568,1.11,1.943,-999.25,-999.25,,
2425.0,11.31,0.438,-999.25,77.57,0.52,2.84,0.481,1.32,1.96,-999.25,-999.25,,
2425.5,12.07,0.397,-999.25,78.76,0.478,2.87,0.439,1.67,2.032,-999.25,-999.25,,
2426.0,11.22,0.359,-999.25,82.23,0.39,2.88,0.375,1.52,2.095,-999.25,-999.25,,
2426.5,12.29,0.367,-999.25,88.89,0.373,2.85,0.37,1.27,2.082,-999.25,-999.25,,
2427.0,11.58,0.381,-999.25,87.4,0.412,2.79,0.397,1.23,2.058,-999.25,-999.25,,
2427.5,11.22,0.363,-999.25,85.74,0.36,2.76,0.362,1.26,2.089,-999.25,-999.25,,
2428.0,10.59,0.338,-999.25,83.48,0.419,2.8,0.381,1.27,2.132,-999.25,-999.25,,
2428.5,11.35,0.334,-999.25,84.35,0.465,2.88,0.405,1.1,2.138,-999.25,-999.25,,
2429.0,11.25,0.365,-999.25,79.94,0.496,2.91,0.435,0.95,2.087,-999.25,-999.25,,
2429.5,11.58,0.382,-999.25,82.39,0.666,2.91,0.543,1.11,2.057,-999.25,-999.25,,
2430.0,11.13,0.386,-999.25,89.63,0.595,2.89,0.502,1.3,2.051,-999.25,-999.25,,
2430.5,11.64,0.382,-999.25,92.23,0.491,2.86,0.44,1.3,2.058,-999.25,-999.25,,
2431.0,12.07,0.389,-999.25,90.12,0.571,2.78,0.489,1.18,2.044,-999.25,-999.25,,
2431.5,11.83,0.387,-999.25,84.4,0.472,2.68,0.432,1.16,2.048,-999.25,-999.25,,
2432.0,10.74,0.38,-999.25,91.34,0.467,2.68,0.426,1.1,2.06,-999.25,-999.25,,
2432.5,11.37,0.398,-999.25,88.34,0.452,2.66,0.426,1.04,2.029,-999.25,-999.25,,
2433.0,10.78,0.439,-999.25,91.74,0.447,2.61,0.443,1.04,1.96,-999.25,-999.25,,
2433.5,10.97,0.455,-999.25,86.73,0.377,2.52,0.0,1.04,1.932,-999.25,-999.25,,
2434.0,10.47,0.415,-999.25,86.15,0.364,2.51,0.39,1.09,2.001,-999.25,-999.25,,
2434.5,11.98,0.404,-999.25,79.49,0.478,2.58,0.443,1.16,2.019,-999.25,-999.25,,
2435.0,14.3,0.455,-999.25,73.51,0.495,2.59,0.0,0.68,1.933,-999.25,-999.25,,
2435.5,14.0,0.511,-999.25,76.84,0.442,2.52,0.0,0.62,1.837,-999.25,-999.25,,
2436.0,13.31,0.514,-999.25,78.29,0.497,2.41,0.0,0.89,1.83,-999.25,-999.25,,
2436.5,13.46,0.483,-999.25,86.1,0.473,2.41,0.0,1.25,1.884,-999.25,-999.25,,
2437.0,10.7,0.477,-999.25,91.45,0.459,2.45,0.0,2.02,1.894,-999.25,-999.25,,
2437.5,11.85,0.486,-999.25,92.32,0.427,2.49,0.0,2.32,1.879,-999.25,-999.25,,
2438.0,11.96,0.498,-999.25,93.2,0.428,2.49,0.0,1.14,1.858,-999.25,-999.25,,
2438.5,13.58,0.482,-999.25,85.96,0.453,2.49,0.0,1.24,1.886,-999.25,-999.25,,
2439.0,12.99,0.437,-999.25,84.52,0.457,2.57,0.447,1.26,1.963,-999.25,-999.25,,
2439.5,13.87,0.388,-999.25,81.62,0.356,2.72,0.372,1.33,2.047,-999.25,-999.25,,
2440.0,13.6,0.358,-999.25,93.65,0.439,2.87,0.401,1.32,2.098,-999.25,-999.25,,
2440.5,13.13,0.349,-999.25,97.7,0.485,2.91,0.423,1.31,2.114,-999.25,-999.25,,
2441.0,13.49,0.346,-999.25,94.81,0.418,2.91,0.384,1.27,2.119,-999.25,-999.25,,
2441.5,12.88,0.342,-999.25,89.14,0.506,2.9,0.432,1.2,2.125,-999.25,-999.25,,
2442.0,11.53,0.344,-999.25,97.41,0.43,2.91,0.389,1.28,2.122,-999.25,-999.25,,
2442.5,11.89,0.336,-999.25,107.82,0.347,2.92,0.342,1.44,2.136,-999.25,-999.25,,
