DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N
4332,8.68,79.326,80.324,2.05,79.375,0.255,2.38,2.89,0.193,0.305,103.07,205.6,0.189,2.726,7.176,0.093502616,9.273643332,0.300400039
4332.5,8.68,83.798,82.554,2.01,79.297,0.261,2.384,2.88,0.191,0.316,103.09,201.79,0.205,2.724,7.264,0.098613292,13.2471094,0.305188394
4333,8.66,82.821,79.447,2.09,78.934,0.255,2.39,2.92,0.187,0.309,102.47,196.67,0.206,2.724,7.504,0.083313591,13.76090715,0.309847139
4333.5,8.67,83.829,79.096,2.17,78.75,0.254,2.399,3,0.182,0.309,98.24,189.49,0.196,2.725,7.954,0.068013889,11.06594895,0.265392502
4334,8.67,81.349,76.932,2.3,78.75,0.249,2.416,3.12,0.172,0.308,92.79,182.9,0.175,2.727,8.752,0.052714187,6.629434494,0.291133116
4334.5,8.67,82.87,76.67,2.36,78.529,0.229,2.434,3.32,0.162,0.28,78.83,173.33,0.151,2.727,9.709,0.037414486,3.321803242,0.35194009
4335,8.66,79.637,74.38,2.78,78.125,0.182,2.48,3.57,0.135,0.22,75.33,166.39,0.139,2.721,10.5,0.022114784,2.161958255,0.312203541
4335.5,8.65,76.497,68.292,3.8,78.125,0.137,2.524,3.79,0.109,0.16,86.86,176.31,0.147,2.721,10.511,0.029765521,2.722426231,0.417051947
4336,8.66,74.667,64.766,3.11,77.794,0.134,2.551,3.83,0.093,0.166,96.55,197.1,0.155,2.727,9.821,0.037416259,3.446998462,0.284688012
4336.5,8.6,75.521,63.881,1.95,77.695,0.181,2.516,3.63,0.113,0.229,112.44,214.9,0.168,2.733,8.885,0.045066996,5.059675132,0.167446447
4337,8.62,80.389,67.96,1.39,78.008,0.233,2.455,3.3,0.149,0.294,107.82,224.92,0.183,2.729,8.184,0.052717733,6.951425032,0.074716473
4337.5,8.64,88.37,74.425,1.29,78.047,0.265,2.407,3.01,0.177,0.331,105.73,222.95,0.181,2.723,7.754,0.060368471,6.036655422,0
4338,8.63,92.422,79.125,1.35,77.941,0.273,2.386,2.86,0.19,0.336,104.92,216.72,0.177,2.72,7.57,0.061193964,5.563404542,0
4338.5,8.65,91.946,78.952,1.41,77.969,0.268,2.386,2.85,0.189,0.328,106.37,215.62,0.18,2.718,7.529,0.062019457,6.344671672,0
4339,8.64,88.571,73.492,1.45,78.125,0.273,2.385,2.88,0.19,0.336,108.57,220.39,0.191,2.716,7.757,0.06284495,8.836708117,0
4339.5,8.65,91.832,74.658,1.44,78.32,0.278,2.375,2.93,0.196,0.341,107.53,223.29,0.199,2.719,8.201,0.063670443,11.10374625,0.018730337
4340,8.67,98.708,80.572,1.42,78.242,0.284,2.377,3,0.195,0.352,103.67,208.45,0.183,2.722,8.474,0.064495936,7.609607254,0.074716473
4340.5,8.67,103.602,83.126,1.42,78.346,0.276,2.389,3.1,0.188,0.342,88.23,191.17,0.145,2.719,8.693,0.053986231,2.674213202,0.078626066
4341,8.68,103.106,84.491,1.82,78.359,0.238,2.424,3.24,0.167,0.291,84.56,174.97,0.124,2.717,8.729,0.043476527,1.29857518,0.048407046
4341.5,8.71,102.571,84.648,2.61,78.125,0.197,2.457,3.36,0.148,0.236,82.86,168.06,0.115,2.716,8.74,0.032966822,0.890897228,0.050950401
4342,8.75,98.55,78.26,3,78.125,0.157,2.499,3.39,0.123,0.184,84.05,170.86,0.11,2.72,8.524,0.022457118,0.68517981,0.056679963
4342.5,8.76,98.703,76.451,3.13,78.125,0.143,2.527,3.28,0.107,0.172,87.21,176.62,0.104,2.725,8.513,0.011947413,0.504061167,0.04775706
4343,8.78,95.875,74.526,2.73,78.125,0.151,2.525,3.13,0.108,0.184,86.18,186.82,0.104,2.722,8.876,0.013408425,0.504061167,0.04775706
4343.5,8.77,95.71,70.606,2.22,77.831,0.166,2.501,3.14,0.122,0.201,86.31,192.11,0.111,2.714,9.434,0.014869437,0.6742319,0.072074478
4344,8.78,89.628,65.486,1.91,77.773,0.174,2.486,3.35,0.131,0.207,87.64,193.26,0.114,2.705,9.842,0.016330449,0.793330471,0.094428173
4344.5,8.75,85.878,62.864,1.74,77.61,0.172,2.486,3.63,0.131,0.205,84.98,187.55,0.114,2.703,9.889,0.01779146,0.869991624,0.094428173
4345,8.76,83.099,60.496,1.61,77.734,0.168,2.497,3.77,0.124,0.203,80.83,178.04,0.127,2.707,9.666,0.019252472,1.60216056,0.088039972
4345.5,8.75,83.334,56.376,1.74,77.93,0.156,2.503,3.74,0.121,0.184,82.34,171.49,0.136,2.707,9.354,0.018400737,2.231686015,0.029515153
4346,8.72,79.029,50.509,2.02,77.813,0.139,2.51,3.62,0.117,0.157,85.24,176.44,0.139,2.71,9.091,0.017549001,2.323213486,0.031597697
4346.5,8.72,75.614,44.508,1.99,78.125,0.145,2.499,3.52,0.124,0.163,88.85,180.69,0.134,2.716,8.978,0.016697266,1.859912849,0.043690832
4347,8.73,77.407,42.949,1.7,77.617,0.178,2.486,3.44,0.131,0.216,89.58,178.71,0.121,2.714,9.101,0.01584553,1.167689876,0.046031171
4347.5,8.72,82.244,49.312,1.61,77.617,0.202,2.487,3.42,0.131,0.253,83.48,170.53,0.107,2.712,9.366,0.014993795,0.583207029,0.021718004
4348,8.7,85.303,51.072,1.92,77.5,0.184,2.509,3.49,0.117,0.232,74.93,163.67,0.107,2.701,9.721,0.015054735,0.583207029,0.021718004
4348.5,8.68,82.243,48.658,2.42,77.539,0.141,2.531,3.61,0.105,0.17,83.05,169.06,0.107,2.703,9.609,0.015115675,0.583207029,0.021718004
4349,8.69,79.503,47.572,2.82,77.5,0.115,2.549,3.62,0.094,0.132,91.1,190.67,0.102,2.699,9.309,0.015176616,0.459614688,0.018724721
4349.5,8.73,79.991,46.366,2.04,77.5,0.14,2.528,3.51,0.106,0.167,94.73,202.66,0.097,2.702,8.955,0.015237556,0.349015793,0.010290552
4350,8.75,85.562,48.29,1.44,77.5,0.193,2.497,3.33,0.125,0.243,92.2,200.01,0.111,2.699,8.964,0.015298496,0.610357919,0.015658466
4350.5,8.75,89.902,50.031,1.27,77.5,0.215,2.473,3.26,0.139,0.27,85.19,187.86,0.125,2.698,9.15,0.020087961,1.155947922,0.035193893
4351,8.72,87.799,49.005,1.49,77.5,0.196,2.477,3.35,0.136,0.241,79.6,176.95,0.137,2.702,9.222,0.024877425,2.074200205,0.113661183
4351.5,8.74,79.882,45.22,1.61,77.383,0.155,2.491,3.49,0.128,0.178,81.97,175.56,0.145,2.708,9.101,0.029666889,2.523853731,0.101966409
4352,8.73,74.124,45.063,1.96,77.463,0.152,2.495,3.5,0.126,0.175,82.6,180.55,0.148,2.721,8.917,0.034456353,2.440467658,0.020403746
4352.5,8.72,75.737,47.122,1.82,77.5,0.166,2.497,3.38,0.124,0.198,87.12,189.35,0.15,2.73,8.76,0.039245817,2.396741029,0
4353,8.72,79.174,46.031,1.36,77.461,0.178,2.499,3.23,0.124,0.22,95.97,215.03,0.16,2.739,8.369,0.045888041,3.431164298,0.026619996
4353.5,8.7,86.557,50.688,1.08,77.5,0.196,2.47,3.17,0.14,0.24,105.05,253.49,0.158,2.744,7.72,0.052530265,3.559842811,0.102667019
4354,8.72,89.904,52.238,0.82,77.316,0.245,2.421,3.14,0.169,0.302,109.29,254.09,0.168,2.739,7.266,0.059172489,5.026265672,0.164390951
4354.5,8.73,90.812,54.631,0.62,77.227,0.277,2.369,3.04,0.199,0.337,105.45,236.41,0.19,2.732,7.236,0.065814713,9.340151511,0.310368069
4355,8.69,83.777,52.199,0.65,77.344,0.3,2.361,2.97,0.204,0.372,97.48,208.84,0.194,2.728,7.571,0.072456936,10.20646907,0.194556271
4355.5,8.73,74.181,49.166,0.75,77.206,0.272,2.391,2.97,0.186,0.337,95.44,205.61,0.192,2.737,7.712,0.073189871,9.635754528,0.134178337
4356,8.72,68.883,46.359,0.87,77.148,0.242,2.441,3.03,0.157,0.304,95.98,207.85,0.188,2.745,7.652,0.073922806,8.544050593,0.127732604
4356.5,8.73,66.713,46.122,0.93,77.422,0.214,2.47,3.02,0.141,0.268,102.41,219.01,0.184,2.749,7.421,0.074655741,7.203512058,0.117465361
