DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3131,8.19,0.262,101.31,183.45,0.288,4.36,0.275,4.01,1.469,2.261,94.04,3936.062012,0.118295826
3131.5,8.19,0.26,100.85,170.22,0.296,4.29,0.279,3.67,1.383,2.265,94.06,8464.041016,0.088593349
3132,8.24,0.259,101.34,158.88,0.301,4.28,0.281,3.35,1.31,2.266,93.94,18922.19922,0.075239241
3132.5,8.25,0.265,102.41,154.72,0.314,4.28,0.291,3.42,1.317,2.257,93.75,15351.96631,0.071782626
3133,8.26,0.27,103.01,191.01,0.362,4.28,0.319,3.79,1.351,2.248,93.75,11781.7334,0.064531192
3133.5,8.23,0.276,103.72,191.01,0.351,4.28,0.316,4.17,1.335,2.238,93.05,5916.425293,0.102218971
3134,8.23,0.282,103.58,167.57,0.311,4.28,0.297,3.14,1.192,2.228,92.5,752.3824463,0.124984294
3134.5,8.27,0.281,102.38,125.99,0.32,4.28,0.301,2.62,1.088,2.229,91.91,3432.766846,0.082753837
3135,8.24,0.278,101.18,123.53,0.296,4.28,0.287,2.47,1.036,2.234,91.88,2393.367188,0.081826933
3135.5,8.27,0.275,100.84,124.1,0.311,4.28,0.294,2.72,1.076,2.24,91.88,4773.197754,0.084129199
3136,8.27,0.274,101.17,121.08,0.333,4.29,0.305,3.1,1.097,2.242,91.64,8242.588867,0.090019308
3136.5,8.26,0.275,100.98,110.87,0.306,4.3,0.291,3.28,1.102,2.24,91.25,5341.590332,0.09328039
3137,8.27,0.277,101.16,104.07,0.296,4.32,0.287,3.27,1.089,2.237,91.25,3305.282227,0.233560413
3137.5,8.3,0.283,101.23,97.26,0.331,4.33,0.308,3.18,1.076,2.227,91.25,3715.240234,17.78548241
3138,8.29,0.292,101.37,113.14,0.347,4.36,0.321,3.26,1.083,2.211,91.25,7772.056315,0.633772731
3138.5,8.28,0.296,101.72,118.05,0.344,4.39,0.321,3.38,1.103,2.203,91.25,11828.8724,0.208291546
3139,8.27,0.296,101.06,112.01,0.327,4.42,0.312,3.16,1.065,2.204,91.21,15885.68848,2.824611187
3139.5,8.25,0.29,100.77,107.85,0.333,4.45,0.312,2.7,1.022,2.215,91.21,2289.799072,29.92691231
3140,8.21,0.284,100.86,100.32,0.32,4.46,0.303,2.9,1.036,2.224,91.25,1299.687256,73.44570923
3140.5,8.22,0.276,100.84,124.48,0.34,4.47,0.31,3.78,1.1,2.238,91.21,4603.625814,0.089537077
3141,8.22,0.279,101.38,125.61,0.368,4.48,0.327,3.83,1.122,2.234,91.25,7907.564372,0.095260546
3141.5,8.23,0.289,101.26,109.74,0.35,4.47,0.321,3.33,1.092,2.216,91.29,11211.50293,8.175925255
3142,8.2,0.299,101.06,115.03,0.306,4.45,0.303,2.95,1.064,2.199,91.52,9980.62207,2.309242964
3142.5,8.19,0.294,100.67,114.65,0.328,4.42,0.311,3.39,1.127,2.207,91.76,9866.741536,0.736207366
3143,8.19,0.278,100.58,129.39,0.325,4.37,0.302,3.9,1.18,2.235,92.33,9752.861003,0.103187159
3143.5,8.18,0.268,100.31,119.57,0.303,4.32,0.286,3.56,1.183,2.252,92.5,9638.980469,0.090073407
3144,8.2,0.269,100.3,108.98,0.326,4.28,0.299,3.22,1.147,2.25,92.66,5982.759277,0.103444561
3144.5,8.19,0.272,100.12,105.2,0.327,4.28,0.301,3,1.134,2.245,92.73,4116.622559,0.588197649
3145,8.12,0.268,100.36,116.92,0.358,4.3,0.316,3.17,1.209,2.251,93.13,8323.37793,0.108681411
3145.5,8.11,0.263,100.59,127.88,0.377,4.33,0.325,3.82,1.296,2.261,93.42,12530.1333,0.124510564
3146,8.16,0.259,99.73,130.53,0.306,4.36,0.283,4.36,1.385,2.267,93.75,16736.88867,0.097387142
3146.5,8.16,0.262,98.85,107.47,0.301,4.4,0.282,4.18,1.361,2.261,93.75,13925.56934,0.099905439
3147,8.15,0.265,97.69,103.69,0.279,4.43,0.272,3.61,1.278,2.256,94.02,6958.791992,0.7161237
3147.5,8.19,0.265,97.43,87.43,0.298,4.46,0.282,2.97,1.192,2.257,94.42,927.6685791,534.2512207
3148,8.19,0.261,98.17,93.2,0.302,4.47,0.282,2.93,1.213,2.265,95.23,2631.540527,181.3681641
3148.5,8.19,0.248,101.25,104.07,0.312,4.46,0.282,3.6,1.339,2.287,95.7,5934.180176,0.521436393
3149,8.16,0.25,103.47,134.68,0.347,4.44,0.302,4.26,1.459,2.283,96.17,5031.663981,0.053390134
3149.5,8.13,0.258,104.14,149.05,0.355,4.41,0.31,4,1.438,2.27,96.25,4129.147786,0.03459524
3150,8.12,0.267,103.98,121.08,0.302,4.37,0.285,3.5,1.384,2.254,96.25,3226.631592,0.079431266
3150.5,8.18,0.261,102.25,127.12,0.286,4.34,0.274,3.54,1.41,2.264,96.25,8479.230469,0.083324336
3151,8.19,0.25,100.25,96.88,0.298,4.31,0.275,3.44,1.424,2.282,96.37,3063.765381,1.028192878
3151.5,8.22,0.246,99.43,107.47,0.296,4.29,0.272,3.56,1.423,2.29,96.54,17525.20898,0.091020115
3152,8.2,0.245,99.48,89.32,0.276,4.28,0.261,3.83,1.437,2.291,96.87,1282.063477,1.302908897
3152.5,8.18,0.247,100.44,112,0.286,4.25,0.267,3.77,1.46,2.288,96.87,10297.51074,0.08846616
3153,8.12,0.251,100.97,121.45,0.29,4.23,0.271,3.87,1.486,2.281,96.87,19169.73047,0.094397865
3153.5,8.11,0.253,102.36,106.71,0.309,4.22,0.282,4.13,1.498,2.278,96.87,5288.913086,0.101231776
3154,8.12,0.251,101.97,115.03,0.281,4.22,0.266,4.78,1.538,2.281,96.87,5234.913574,0.110761479
3154.5,8.12,0.246,100.18,110.87,0.274,4.25,0.26,3.82,1.43,2.29,96.56,4912.187012,0.087528855
3155,8.14,0.245,99.25,94.62,0.3,4.28,0.274,3.14,1.301,2.292,96.87,5111.769531,2.858776093
3155.5,8.13,0.25,99.11,84.13,0.279,4.31,0.265,2.78,1.266,2.282,96.87,531.1965332,132.7657166
3156,8.15,0.257,99.26,108.23,0.279,4.34,0.268,3.36,1.38,2.271,97.15,8801.999023,0.127186671
3156.5,8.15,0.259,99.29,89.7,0.292,4.38,0.276,3.63,1.441,2.267,97.67,2506.56543,60.62901306
3157,8.12,0.251,100.45,84.79,0.317,4.41,0.286,3.48,1.381,2.281,97.85,2161.596191,322.6039124
3157.5,8.11,0.235,101.15,108.6,0.29,4.45,0.264,3.46,1.398,2.308,98.13,10380.05566,0.1712773
3158,8.07,0.223,100.95,119.57,0.306,4.46,0.268,3.42,1.399,2.33,98.52,18286.93164,0.056258891
3158.5,8.06,0.217,101.78,124.48,0.303,4.45,0.264,3.54,1.399,2.339,98.36,11592.10938,0.039925821
3159,8.07,0.221,102.66,128.64,0.282,4.44,0.253,3.56,1.428,2.332,97.85,8777.856445,0.042689346
3159.5,8.07,0.227,102.23,123.34,0.266,4.41,0.247,3.62,1.443,2.322,97.29,8404.333984,0.058967602
