UWI,Fm Name [42] (*=Aliased),Src,MD,SSTVD,TVD,Qual,Time(ms),Rpt,Sym,Hole Angle,Chg Date,Remarks,Desc
26123214040000,Morrison,Petrel,4593.23,-701.23,4593.23,,,,,,,,
26123214040000,Jurassic_L,Petrel,4773.53,-881.53,4773.53,,,,,,,,
26123214040000,SundanceBase,Petrel,4815.22,-923.22,4815.22,,,,,,,,
26123214040000,Forelle,Petrel,4830.43,-938.43,4830.43,,,,,,,,
26123214040000,Minnekahta,Petrel,4854.7,-962.7,4854.7,,,,,,,,
26123214040000,Opeche,Petrel,4883.13,-991.13,4883.13,,,,,,,,
26123214040000,Blaine,Petrel,4919.8,-1027.8,4919.8,,,,,,,,
26123214040000,Flowerpot_Sh,Petrel,5050.81,-1158.81,5050.81,,,,,,,,
26123214040000,Flowerpot_Anhy,Petrel,5068.99,-1176.99,5068.99,,,,,,,,
26123214040000,Lyons,Petrel,5087.76,-1195.76,5087.76,,,,,,,,
26123214040000,SaltPlain,Petrel,5209.97,-1317.97,5209.97,,,,,,,,
26123214040000,StoneCorral,Petrel,5276.32,-1384.32,5276.32,,,,,,,,
26123214040000,Wolfcamp,Petrel,5317.97,-1425.97,5317.97,,,,,,,,
26123214040000,Virgil,Petrel,5685,-1793,5685,,,,,,,,
26123214040000,Cherokee,Petrel,6310,-2418,6310,,,,,,,,
26123214040000,Precambrian,Petrel,6370,-2478,6370,,,,,,,,
5121111000000,SharonSprings,Petrel,2870.68,1464.39,2870.68,,,,,,,,
5121111000000,Niobrara,Petrel,2914.49,1420.59,2914.49,,,,,,,,
5121111000000,Niobrara_C_Chalk,Petrel,3260.92,1074.19,3260.92,,,,,,,,
5121111000000,FtHays,Petrel,3338.25,996.86,3338.25,,,,,,,,
5121111000000,Carlile,Petrel,3396.76,938.35,3396.76,,,,,,,,
5121111000000,Greenhorn,Petrel,3583.57,751.55,3583.57,,,,,,,,
5121111000000,Graneros,Petrel,3616.6,718.52,3616.6,,,,,,,,
5121111000000,Mowry,Petrel,3721.7,613.44,3721.7,,,,,,,,
5121111000000,D_Sand,Petrel,3824.24,510.9,3824.24,,,,,,,,
5121111000000,Huntsman,Petrel,3849.28,485.87,3849.28,,,,,,,,
5121111000000,J_Sand,Petrel,3869.93,465.22,3869.93,,,,,,,,
5121111000000,SkullCreek_Sh,Petrel,3983.46,351.71,3983.46,,,,,,,,
5121111000000,Lakota_U,Petrel,4135.21,199.97,4135.21,,,,,,,,
5121111000000,Lakota_L,Petrel,4174.96,160.22,4174.96,,,,,,,,
5121111000000,Morrison,Petrel,4275.21,59.98,4275.21,,,,,,,,
5121111000000,Morrison_HotSh,Petrel,4322.43,12.76,4322.43,,,,,,,,
5121111000000,Jurassic_L,Petrel,4417.13,-81.94,4417.13,,,,,,,,
5121111000000,Forelle,Petrel,4518.68,-183.48,4518.68,,,,,,,,
5121111000000,Minnekahta,Petrel,4549.87,-214.68,4549.87,,,,,,,,
5121111000000,Opeche,Petrel,4568.59,-233.39,4568.59,,,,,,,,
5121111000000,Blaine,Petrel,4632.87,-297.67,4632.87,,,,,,,,
5121111000000,Flowerpot_Sh,Petrel,4790.12,-454.92,4790.12,,,,,,,,
5121111000000,Flowerpot_Anhy,Petrel,4816.99,-481.79,4816.99,,,,,,,,
5121111000000,Lyons,Petrel,4832.11,-496.9,4832.11,,,,,,,,
5121111000000,SaltPlain,Petrel,4878.57,-543.37,4878.57,,,,,,,,
5121111000000,StoneCorral,Petrel,4935.09,-599.88,4935.09,,,,,,,,
5121111000000,Sumner,Petrel,4996.16,-660.96,4996.16,,,,,,,,
5121111000000,Wolfcamp,Petrel,5060.78,-725.57,5060.78,,,,,,,,
5125121280000,SharonSprings,Petrel,2765.64,1466.36,2765.64,,,,,,,,
5125121280000,Niobrara,Petrel,2815.98,1416.02,2815.98,,,,,,,,
5125121280000,Niobrara_C_Chalk,Petrel,3163.16,1068.84,3163.16,,,,,,,,
5125121280000,FtHays,Petrel,3234.01,997.99,3234.01,,,,,,,,
5125121280000,Carlile,Petrel,3295.68,936.32,3295.68,,,,,,,,
5125121280000,Greenhorn,Petrel,3458.49,773.51,3458.49,,,,,,,,
5125121280000,Graneros,Petrel,3505.14,726.86,3505.14,,,,,,,,
5125121280000,Mowry,Petrel,3603.97,628.03,3603.97,,,,,,,,
5125121280000,D_Sand,Petrel,3685.81,546.19,3685.81,,,,,,,,
5125121280000,Huntsman,Petrel,3715.76,516.24,3715.76,,,,,,,,
5125121280000,J_Sand,Petrel,3759.54,472.46,3759.54,,,,,,,,
5125121280000,SkullCreek_Sh,Petrel,3942.19,289.81,3942.19,,,,,,,,
5125121280000,Lakota_U,Petrel,4041.41,190.59,4041.41,,,,,,,,
5125121280000,Lakota_L,Petrel,4076.85,155.15,4076.85,,,,,,,,
5125121280000,Morrison,Petrel,4198.95,33.05,4198.95,,,,,,,,
5125121280000,Morrison_HotSh,Petrel,4279.15,-47.15,4279.15,,,,,,,,
5125121280000,Jurassic_L,Petrel,4312.91,-80.91,4312.91,,,,,,,,
5125121280000,SundanceBase,Petrel,4397.91,-165.91,4397.91,,,,,,,,
5125121280000,Forelle,Petrel,4402.12,-170.12,4402.12,,,,,,,,
5125121280000,Minnekahta,Petrel,4411.26,-179.26,4411.26,,,,,,,,
5125121280000,Opeche,Petrel,4433.29,-201.29,4433.29,,,,,,,,
5125121280000,DayCrk,Petrel,4500.01,-268.01,4500.01,,,,,,,,
5125121280000,Blaine,Petrel,4500.13,-268.13,4500.13,,,,,,,,
5125121280000,Flowerpot_Sh,Petrel,4652.62,-420.62,4652.62,,,,,,,,
5125121280000,Flowerpot_Anhy,Petrel,4680.33,-448.33,4680.33,,,,,,,,
5125121280000,Lyons,Petrel,4696.7,-464.7,4696.7,,,,,,,,
5125121280000,SaltPlain,Petrel,4735.32,-503.32,4735.32,,,,,,,,
5125121280000,StoneCorral,Petrel,4782.2,-550.2,4782.2,,,,,,,,
5125121280000,Sumner,Petrel,4838.17,-606.17,4838.17,,,,,,,,
5125121280000,Wolfcamp,Petrel,4968,-736,4968,,,,,,,,
5125121280000,Virgil,Petrel,5508,-1276,5508,,,,,,,,
5125121280000,Missouri,Petrel,5735,-1503,5735,,,,,,,,
5125121280000,DesMoines,Petrel,6010,-1778,6010,,,,,,,,
5125121280000,Atoka,Petrel,6418,-2186,6418,,,,,,,,
5125121280000,Cherokee,Petrel,6030,-1798,6030,,,,,,,,
5125121280000,Marmaton,Petrel,5950,-1718,5950,,,,,,,,
5125121280000,Mississippian,Petrel,6575.18,-2343.18,6575.18,,,,,,,,
26123214850000,SharonSprings,Petrel,3741.19,468.81,3741.19,,,,,,,,
26123214850000,Niobrara,Petrel,3774,436,3774,,,,,,,,
26123214850000,FtHays,Petrel,4050.71,159.29,4050.71,,,,,,,,
26123214850000,Graneros,Petrel,4330,-120,4330,,,,,,,,
26123214850000,Mowry,Petrel,4483,-273,4483,,,,,,,,
26123214850000,D_Sand,Petrel,4592.49,-382.49,4592.49,,,,,,,,
26123214850000,Huntsman,Petrel,4665.97,-455.97,4665.97,,,,,,,,
26123214850000,J_Sand,Petrel,4739.45,-529.45,4739.45,,,,,,,,
26123214850000,SkullCreek_Sh,Petrel,4785.72,-575.72,4785.72,,,,,,,,
26123214850000,Lakota_U,Petrel,4929.96,-719.96,4929.96,,,,,,,,
26123214850000,Lakota_L,Petrel,5104.14,-894.14,5104.14,,,,,,,,
26123214850000,Morrison,Petrel,5207.9,-997.9,5207.9,,,,,,,,
26123214850000,Jurassic_L,Petrel,5405.64,-1195.64,5405.64,,,,,,,,
26123214850000,SundanceBase,Petrel,5435.69,-1225.69,5435.69,,,,,,,,
26123214850000,Forelle,Petrel,5453.79,-1243.79,5453.79,,,,,,,,
26123214850000,Minnekahta,Petrel,5478.39,-1268.39,5478.39,,,,,,,,
26123214850000,Opeche,Petrel,5508.44,-1298.44,5508.44,,,,,,,,
26123214850000,DayCrk,Petrel,5534.43,-1324.43,5534.43,,,,,,,,
26123214850000,Blaine,Petrel,5534.43,-1324.43,5534.43,,,,,,,,
26123214850000,Flowerpot_Sh,Petrel,5659.29,-1449.29,5659.29,,,,,,,,
26123214850000,Flowerpot_Anhy,Petrel,5681.57,-1471.57,5681.57,,,,,,,,
26123214850000,Lyons,Petrel,5695.37,-1485.37,5695.37,,,,,,,,
26123214850000,SaltPlain,Petrel,5775.39,-1565.39,5775.39,,,,,,,,
26123214850000,StoneCorral,Petrel,5855.45,-1645.45,5855.45,,,,,,,,
26123214850000,Wolfcamp,Petrel,5901.65,-1691.65,5901.65,,,,,,,,
26123214850000,Virgil,Petrel,6362,-2152,6362,,,,,,,,
