DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE
2993.5,9.29,0.26,-999.25,159.54,0.309,4.76,0.286,2.35,2.265,-999.25,-999.25,
2994.0,9.42,0.261,-999.25,166.82,0.362,4.65,0.316,2.52,2.263,-999.25,-999.25,
2994.5,9.52,0.26,-999.25,172.84,0.403,4.55,0.339,2.64,2.265,-999.25,-999.25,
2995.0,9.65,0.258,-999.25,185.5,0.418,4.51,0.347,2.37,2.269,-999.25,-999.25,
2995.5,9.61,0.258,-999.25,192.29,0.38,4.57,0.325,2.8,2.27,-999.25,-999.25,
2996.0,9.45,0.261,-999.25,191.91,0.357,4.7,0.313,3.14,2.264,-999.25,-999.25,
2996.5,9.35,0.264,-999.25,193.05,0.365,4.78,0.319,3.27,2.258,-999.25,-999.25,
2997.0,9.3,0.264,-999.25,191.99,0.349,4.78,0.309,3.07,2.258,-999.25,-999.25,
2997.5,9.34,0.262,-999.25,193.01,0.319,4.74,0.292,2.81,2.262,-999.25,-999.25,
2998.0,9.41,0.261,-999.25,189.12,0.3,4.72,0.281,2.67,2.264,-999.25,-999.25,
2998.5,9.47,0.26,-999.25,193.09,0.34,4.67,0.303,2.77,2.265,-999.25,-999.25,
2999.0,9.47,0.262,-999.25,195.47,0.38,4.6,0.326,3.1,2.262,-999.25,-999.25,
2999.5,9.35,0.268,-999.25,192.43,0.327,4.57,0.299,3.0,2.252,-999.25,-999.25,
3000.0,9.27,0.272,-999.25,182.07,0.324,4.57,0.299,2.62,2.244,-999.25,-999.25,
3000.5,9.27,0.277,-999.25,178.13,0.335,4.61,0.307,2.86,2.236,-999.25,-999.25,
3001.0,9.31,0.278,-999.25,180.98,0.326,4.56,0.303,3.57,2.235,-999.25,-999.25,
3001.5,9.38,0.281,-999.25,178.57,0.352,4.52,0.318,3.99,2.23,-999.25,-999.25,
3002.0,9.44,0.285,-999.25,170.55,0.34,4.49,0.314,3.61,2.222,-999.25,-999.25,
3002.5,9.41,0.287,-999.25,161.05,0.316,4.53,0.302,2.98,2.219,-999.25,-999.25,
3003.0,9.3,0.292,-999.25,154.01,0.346,4.58,0.32,3.02,2.21,-999.25,-999.25,
3003.5,9.24,0.293,-999.25,144.21,0.343,4.61,0.319,2.83,2.209,-999.25,-999.25,
3004.0,9.18,0.295,-999.25,133.38,0.341,4.61,0.319,2.58,2.205,-999.25,-999.25,
3004.5,9.24,0.285,-999.25,132.49,0.357,4.6,0.323,2.34,2.223,-999.25,-999.25,
3005.0,9.36,0.277,-999.25,139.16,0.359,4.54,0.321,2.52,2.236,-999.25,-999.25,
3005.5,9.45,0.274,-999.25,155.6,0.341,4.5,0.309,3.2,2.242,-999.25,-999.25,
3006.0,9.47,0.277,-999.25,163.31,0.353,4.46,0.317,4.45,2.236,-999.25,-999.25,
3006.5,9.38,0.281,-999.25,169.43,0.366,4.46,0.326,3.53,2.23,-999.25,-999.25,
3007.0,9.31,0.281,-999.25,173.99,0.358,4.44,0.322,3.0,2.229,-999.25,-999.25,
3007.5,9.24,0.279,-999.25,177.58,0.384,4.43,0.336,3.06,2.233,-999.25,-999.25,
3008.0,9.29,0.269,-999.25,185.23,0.384,4.44,0.332,2.99,2.249,-999.25,-999.25,
3008.5,9.4,0.259,-999.25,192.53,0.377,4.45,0.323,2.94,2.268,-999.25,-999.25,
3009.0,9.51,0.251,-999.25,206.89,0.424,4.44,0.348,2.86,2.281,-999.25,-999.25,
3009.5,9.54,0.25,-999.25,222.73,0.409,4.4,0.339,2.81,2.282,-999.25,-999.25,
3010.0,9.43,0.25,-999.25,228.76,0.399,4.36,0.333,2.77,2.282,-999.25,-999.25,
3010.5,9.36,0.251,-999.25,227.24,0.377,4.33,0.32,2.72,2.282,-999.25,-999.25,
3011.0,9.31,0.254,-999.25,215.45,0.406,4.32,0.339,2.93,2.276,-999.25,-999.25,
3011.5,9.39,0.26,-999.25,205.26,0.36,4.36,0.314,2.81,2.266,-999.25,-999.25,
3012.0,9.5,0.264,-999.25,193.11,0.361,4.42,0.316,2.44,2.259,-999.25,-999.25,
3012.5,9.59,0.262,-999.25,184.37,0.369,4.45,0.32,2.34,2.263,-999.25,-999.25,
3013.0,9.64,0.259,-999.25,181.42,0.399,4.46,0.336,2.71,2.267,-999.25,-999.25,
3013.5,9.58,0.261,-999.25,184.81,0.417,4.47,0.348,3.06,2.264,-999.25,-999.25,
3014.0,9.52,0.264,-999.25,185.73,0.379,4.46,0.327,2.9,2.259,-999.25,-999.25,
3014.5,9.43,0.265,-999.25,181.89,0.381,4.44,0.328,2.82,2.257,-999.25,-999.25,
3015.0,9.45,0.266,-999.25,180.29,0.336,4.47,0.303,2.79,2.255,-999.25,-999.25,
3015.5,9.51,0.266,-999.25,183.54,0.33,4.58,0.3,3.05,2.255,-999.25,-999.25,
3016.0,9.59,0.26,-999.25,186.87,0.346,4.71,0.306,3.01,2.265,-999.25,-999.25,
3016.5,9.55,0.249,-999.25,197.09,0.33,4.79,0.292,2.93,2.284,-999.25,-999.25,
3017.0,9.42,0.237,-999.25,214.53,0.334,4.88,0.29,3.09,2.305,-999.25,-999.25,
3017.5,9.34,0.239,-999.25,227.91,0.357,4.99,0.304,3.24,2.301,-999.25,-999.25,
3018.0,9.28,0.239,-999.25,229.39,0.363,5.28,0.307,3.38,2.302,-999.25,-999.25,
3018.5,9.31,0.231,-999.25,208.57,0.335,5.48,0.288,3.42,2.315,-999.25,-999.25,
3019.0,9.47,0.215,-999.25,194.31,0.328,5.43,0.277,3.03,2.343,-999.25,-999.25,
3019.5,9.57,0.225,-999.25,183.29,0.371,5.03,0.307,2.63,2.326,-999.25,-999.25,
3020.0,9.61,0.247,-999.25,191.77,0.326,4.66,0.289,2.46,2.288,-999.25,-999.25,
3020.5,9.51,0.264,-999.25,194.69,0.343,4.46,0.306,3.22,2.258,-999.25,-999.25,
3021.0,9.44,0.261,-999.25,190.68,0.362,4.42,0.316,4.83,2.263,-999.25,-999.25,
3021.5,9.36,0.261,-999.25,177.07,0.363,4.41,0.316,4.38,2.263,-999.25,-999.25,
3022.0,9.4,0.268,-999.25,163.61,0.344,4.48,0.308,3.19,2.252,-999.25,-999.25,
3022.5,9.52,0.271,-999.25,156.9,0.357,4.58,0.317,2.45,2.247,-999.25,-999.25,
3023.0,9.69,0.267,-999.25,151.8,0.343,4.68,0.307,2.61,2.253,-999.25,-999.25,
3023.5,9.72,0.26,-999.25,153.52,0.314,4.74,0.288,3.15,2.266,-999.25,-999.25,
3024.0,9.67,0.257,-999.25,155.12,0.314,4.78,0.287,3.62,2.27,-999.25,-999.25,
3024.5,9.6,0.258,-999.25,157.77,0.341,4.76,0.302,3.51,2.268,-999.25,-999.25,
3025.0,9.54,0.259,-999.25,161.37,0.343,4.67,0.304,3.6,2.266,-999.25,-999.25,
3025.5,9.54,0.257,-999.25,166.86,0.335,4.57,0.299,3.41,2.27,-999.25,-999.25,
3026.0,9.76,0.255,-999.25,170.88,0.355,4.52,0.309,3.2,2.273,-999.25,-999.25,
3026.5,9.86,0.257,-999.25,174.38,0.375,4.55,0.321,3.34,2.27,-999.25,-999.25,
3027.0,9.92,0.264,-999.25,174.16,0.362,4.58,0.317,3.49,2.259,-999.25,-999.25,
3027.5,9.82,0.268,-999.25,173.35,0.344,4.58,0.308,3.58,2.252,-999.25,-999.25,
3028.0,9.68,0.27,-999.25,169.8,0.346,4.58,0.31,3.06,2.249,-999.25,-999.25,
3028.5,9.56,0.272,-999.25,172.05,0.362,4.62,0.32,2.9,2.245,-999.25,-999.25,
3029.0,9.5,0.277,-999.25,177.58,0.372,4.7,0.328,2.85,2.236,-999.25,-999.25,
3029.5,9.61,0.283,-999.25,180.16,0.374,4.76,0.332,2.7,2.226,-999.25,-999.25,
3030.0,9.7,0.281,-999.25,181.89,0.392,4.75,0.341,2.51,2.229,-999.25,-999.25,
3030.5,9.78,0.278,-999.25,183.58,0.416,4.72,0.354,2.47,2.234,-999.25,-999.25,
3031.0,9.67,0.279,-999.25,190.47,0.404,4.69,0.347,2.76,2.233,-999.25,-999.25,
3031.5,9.6,0.284,-999.25,187.64,0.377,4.63,0.334,3.36,2.224,-999.25,-999.25,
3032.0,9.5,0.288,-999.25,184.27,0.384,4.54,0.339,4.49,2.217,-999.25,-999.25,
3032.5,9.48,0.291,-999.25,176.62,0.381,4.46,0.339,5.11,2.212,-999.25,-999.25,
3033.0,9.54,0.295,-999.25,172.09,0.403,4.45,0.353,4.02,2.206,-999.25,-999.25,
3033.5,9.59,0.297,-999.25,167.07,0.385,4.46,0.344,3.06,2.202,-999.25,-999.25,
3034.0,9.63,0.296,-999.25,159.3,0.38,4.47,0.341,2.55,2.205,-999.25,-999.25,
3034.5,9.64,0.293,-999.25,157.28,0.346,4.46,0.321,2.9,2.209,-999.25,-999.25,
3035.0,9.53,0.294,-999.25,159.18,0.367,4.43,0.333,3.12,2.207,-999.25,-999.25,
3035.5,9.43,0.293,-999.25,168.13,0.355,4.41,0.325,3.33,2.209,-999.25,-999.25,
3036.0,9.36,0.288,-999.25,173.58,0.324,4.42,0.307,3.5,2.217,-999.25,-999.25,
3036.5,9.37,0.281,-999.25,172.74,0.331,4.44,0.307,3.98,2.229,-999.25,-999.25,
3037.0,9.43,0.278,-999.25,176.74,0.352,4.45,0.317,3.98,2.235,-999.25,-999.25,
3037.5,9.5,0.277,-999.25,182.12,0.389,4.41,0.338,3.89,2.236,-999.25,-999.25,
3038.0,9.53,0.277,-999.25,188.87,0.37,4.36,0.327,3.47,2.236,-999.25,-999.25,
3038.5,9.41,0.276,-999.25,189.97,0.36,4.32,0.321,2.94,2.237,-999.25,-999.25,
3039.0,9.36,0.272,-999.25,193.38,0.358,4.35,0.318,2.42,2.245,-999.25,-999.25,
3039.5,9.31,0.267,-999.25,198.86,0.341,4.43,0.306,2.34,2.253,-999.25,-999.25,
3040.0,9.3,0.261,-999.25,204.39,0.351,4.51,0.309,2.71,2.264,-999.25,-999.25,
3040.5,9.42,0.254,-999.25,207.76,0.361,4.55,0.312,2.97,2.276,-999.25,-999.25,
3041.0,9.51,0.253,-999.25,203.29,0.36,4.53,0.311,2.86,2.278,-999.25,-999.25,
3041.5,9.56,0.256,-999.25,204.94,0.381,4.56,0.325,2.81,2.272,-999.25,-999.25,
3042.0,9.52,0.259,-999.25,212.16,0.341,4.65,0.303,2.95,2.267,-999.25,-999.25,
3042.5,9.32,0.258,-999.25,237.57,0.348,4.83,0.306,3.13,2.268,-999.25,-999.25,
3043.0,9.31,0.257,-999.25,254.49,0.388,4.88,0.329,4.31,2.27,-999.25,-999.25,
3043.5,9.3,0.269,-999.25,252.94,0.38,4.78,0.329,5.13,2.249,-999.25,-999.25,
3044.0,9.35,0.283,-999.25,230.61,0.367,4.59,0.328,3.32,2.226,-999.25,-999.25,
3044.5,9.41,0.295,-999.25,200.38,0.339,4.46,0.318,2.99,2.205,-999.25,-999.25,
3045.0,9.43,0.3,-999.25,180.61,0.346,4.39,0.324,2.73,2.197,-999.25,-999.25,
3045.5,9.38,0.299,-999.25,166.44,0.344,4.32,0.322,2.65,2.199,-999.25,-999.25,
3046.0,9.27,0.3,-999.25,158.42,0.305,4.28,0.303,2.54,2.197,-999.25,-999.25,
3046.5,9.24,0.295,-999.25,149.4,0.318,4.27,0.307,2.3,2.205,-999.25,-999.25,
3047.0,9.22,0.29,-999.25,151.45,0.317,4.28,0.304,2.89,2.214,-999.25,-999.25,
3047.5,9.3,0.284,-999.25,153.57,0.303,4.28,0.294,5.16,2.225,-999.25,-999.25,
3048.0,9.4,0.278,-999.25,160.78,0.321,4.28,0.3,7.15,2.235,-999.25,-999.25,
3048.5,9.38,0.277,-999.25,156.59,0.348,4.27,0.315,4.3,2.236,-999.25,-999.25,
3049.0,9.4,0.277,-999.25,159.24,0.346,4.23,0.313,3.23,2.236,-999.25,-999.25,
3049.5,9.24,0.282,-999.25,164.06,0.341,4.13,0.313,3.3,2.228,-999.25,-999.25,
3050.0,9.19,0.285,-999.25,171.2,0.314,4.07,0.3,3.66,2.223,-999.25,-999.25,
3050.5,9.22,0.286,-999.25,178.94,0.318,4.04,0.302,4.19,2.221,-999.25,-999.25,
3051.0,9.32,0.295,-999.25,180.16,0.334,4.12,0.315,3.84,2.206,-999.25,-999.25,
3051.5,9.37,0.302,-999.25,167.53,0.338,4.18,0.321,2.51,2.193,-999.25,-999.25,
3052.0,9.48,0.305,-999.25,156.22,0.35,4.21,0.328,1.71,2.189,-999.25,-999.25,
3052.5,9.52,0.297,-999.25,157.53,0.357,4.21,0.328,2.0,2.202,-999.25,-999.25,
3053.0,9.4,0.288,-999.25,180.96,0.326,4.23,0.308,4.22,2.217,-999.25,-999.25,
3053.5,9.32,0.283,-999.25,191.05,0.33,4.28,0.307,5.61,2.226,-999.25,-999.25,
3054.0,9.35,0.279,-999.25,190.08,0.35,4.3,0.316,3.47,2.233,-999.25,-999.25,
3054.5,9.44,0.269,-999.25,178.68,0.336,4.23,0.304,2.88,2.249,-999.25,-999.25,
3055.0,9.5,0.259,-999.25,174.42,0.323,4.16,0.293,3.05,2.267,-999.25,-999.25,
3055.5,9.61,0.253,-999.25,173.53,0.316,4.12,0.286,3.05,2.277,-999.25,-999.25,
3056.0,9.61,0.257,-999.25,171.29,0.327,4.14,0.294,2.92,2.271,-999.25,-999.25,
3056.5,9.56,0.263,-999.25,163.61,0.317,4.15,0.291,3.04,2.26,-999.25,-999.25,
3057.0,9.47,0.265,-999.25,149.72,0.344,4.12,0.307,3.12,2.258,-999.25,-999.25,
3057.5,9.43,0.264,-999.25,140.48,0.366,4.08,0.319,2.78,2.258,-999.25,-999.25,
3058.0,9.49,0.267,-999.25,140.42,0.335,4.01,0.303,2.75,2.253,-999.25,-999.25,
3058.5,9.56,0.276,-999.25,139.98,0.354,3.99,0.317,3.16,2.238,-999.25,-999.25,
3059.0,9.57,0.287,-999.25,139.47,0.334,3.99,0.311,3.28,2.22,-999.25,-999.25,
3059.5,9.6,0.285,-999.25,137.17,0.319,4.06,0.302,2.34,2.222,-999.25,-999.25,
