DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE
977.5,9.57,0.283,-999.25,88.54,0.447,3.52,0.374,2.9,2.226,-999.25,-999.25,
978,9.71,0.285,-999.25,91.02,0.413,3.53,0.355,2.91,2.222,-999.25,-999.25,
978.5,9.73,0.286,-999.25,91.43,0.42,3.47,0.359,3.2,2.221,-999.25,-999.25,
979,9.69,0.285,-999.25,91.01,0.447,3.39,0.375,3.23,2.223,-999.25,-999.25,
979.5,9.66,0.28,-999.25,94.72,0.48,3.32,0.393,3.47,2.231,-999.25,-999.25,
980,9.6,0.278,-999.25,99.2,0.41,3.28,0.35,3.42,2.235,-999.25,-999.25,
980.5,9.48,0.271,-999.25,106.86,0.404,3.25,0.344,3.17,2.246,-999.25,-999.25,
981,9.53,0.262,-999.25,102.9,0.387,3.2,0.33,3.13,2.262,-999.25,-999.25,
981.5,9.62,0.258,-999.25,107.1,0.348,3.15,0.306,3.27,2.27,-999.25,-999.25,
982,9.64,0.266,-999.25,102.24,0.357,3.17,0.315,3.12,2.255,-999.25,-999.25,
982.5,10,0.29,-999.25,103.07,0.425,3.26,0.364,3.03,2.214,-999.25,-999.25,
983,9.62,0.303,-999.25,102.59,0.437,3.35,0.376,3.24,2.192,-999.25,-999.25,
983.5,9.55,0.303,-999.25,104.19,0.401,3.35,0.355,3.34,2.192,-999.25,-999.25,
984,9.48,0.286,-999.25,97.86,0.436,3.3,0.369,3.34,2.221,-999.25,-999.25,
984.5,9.48,0.27,-999.25,102.15,0.389,3.26,0.335,3.45,2.248,-999.25,-999.25,
985,9.51,0.261,-999.25,95.74,0.402,3.28,0.339,3.11,2.264,-999.25,-999.25,
985.5,9.53,0.256,-999.25,107.66,0.402,3.29,0.337,3.12,2.273,-999.25,-999.25,
986,9.44,0.262,-999.25,102.16,0.441,3.36,0.363,3.12,2.262,-999.25,-999.25,
986.5,9.4,0.272,-999.25,104.62,0.476,3.48,0.388,3.24,2.244,-999.25,-999.25,
987,9.42,0.283,-999.25,102.38,0.395,3.62,0.344,3.28,2.226,-999.25,-999.25,
987.5,9.42,0.285,-999.25,95.13,0.388,3.68,0.34,3.42,2.223,-999.25,-999.25,
988,9.46,0.282,-999.25,97.06,0.371,3.67,0.33,3.56,2.228,-999.25,-999.25,
988.5,9.44,0.283,-999.25,92.77,0.371,3.68,0.33,3.73,2.227,-999.25,-999.25,
989,9.42,0.288,-999.25,95.4,0.463,3.73,0.386,3.74,2.218,-999.25,-999.25,
