DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_D,K_TIM_D,K_SDR_N,K_SDR_N_PRE
4320.0,7.88,0.083,78.48,98.78,0.138,3.74,0.114,2.73,2.569,-999.25,-999.25,0.00788755,0.00499998452141881
4320.5,7.94,0.082,78.91,98.01,0.141,3.79,0.115,2.64,2.571,-999.25,-999.25,0.008581187,0.005406131036579609
4321.0,8.0,0.09,80.66,96.72,0.164,3.77,0.132,2.6,2.556,-999.25,-999.25,0.020931194,0.007076250854879618
4321.5,8.01,0.102,82.59,99.28,0.182,3.71,0.148,2.4,2.535,-999.25,-999.25,0.04384204,0.008609605953097343
4322.0,8.02,0.116,87.45,108.42,0.23,3.59,0.182,2.12,2.512,-999.25,-999.25,0.047273248,0.012727989815175533
4322.5,8.02,0.13,89.26,115.97,0.236,3.47,0.191,1.84,2.487,-999.25,-999.25,0.106163695,0.020095543935894966
4323.0,8.02,0.14,89.88,121.03,0.236,3.38,0.194,1.74,2.471,-999.25,-999.25,0.178955719,0.031988926231861115
4323.5,8.04,0.141,90.09,120.66,0.246,3.37,0.2,1.87,2.469,-999.25,-999.25,0.187884405,0.016887381672859192
4324.0,8.04,0.134,90.48,115.05,0.252,3.43,0.202,1.86,2.481,-999.25,-999.25,0.128410652,0.012324773706495762
4324.5,8.0,0.123,85.08,102.79,0.188,3.53,0.159,1.83,2.499,-999.25,-999.25,0.053185485,0.013205191120505333
4325.0,8.0,0.117,80.01,89.34,0.126,3.6,0.122,1.86,2.51,-999.25,-999.25,0.067773491,0.005409381818026304
4325.5,8.03,0.109,81.19,80.04,0.157,3.6,0.135,2.14,2.524,-999.25,-999.25,0.066722609,0.01023207325488329
4326.0,7.97,0.105,82.63,76.88,0.189,3.51,0.153,2.42,2.53,-999.25,-999.25,0.316535711,0.015024775639176369
4326.5,7.97,0.117,85.03,80.01,0.189,3.36,0.157,1.74,2.511,-999.25,-999.25,0.034538615,0.028276897966861725
4327.0,8.02,0.127,87.54,85.85,0.2,3.16,0.168,1.42,2.492,-999.25,-999.25,0.072960891,0.028493709862232208
4327.5,8.19,0.131,91.21,96.84,0.222,2.98,0.182,1.18,2.487,-999.25,-999.25,0.290053576,0.031178543344140053
4328.0,8.57,0.139,98.61,110.01,0.284,2.87,0.224,0.99,2.472,-999.25,-999.25,0.56769222,0.11825183779001236
4328.5,8.7,0.149,102.52,116.8,0.336,2.87,0.26,1.1,2.456,-999.25,-999.25,0.588491321,0.19463662803173065
4329.0,8.23,0.163,99.78,111.73,0.319,2.95,0.253,1.23,2.431,-999.25,-999.25,0.239441603,0.27941808104515076
4329.5,8.2,0.15,95.14,99.66,0.283,3.06,0.226,1.38,2.453,-999.25,-999.25,0.108024642,0.1526229828596115
4330.0,8.2,0.143,91.0,92.01,0.245,3.13,0.201,1.5,2.466,-999.25,-999.25,0.064712815,0.0737505555152893
4330.5,8.21,0.134,91.81,93.67,0.255,3.21,0.204,1.51,2.48,-999.25,-999.25,0.053052105,0.06723766773939133
4331.0,8.3,0.135,90.79,95.41,0.235,3.27,0.192,1.41,2.479,-999.25,-999.25,0.079201534,0.053842075169086456
4331.5,8.19,0.137,88.35,101.12,0.205,3.31,0.174,1.43,2.476,-999.25,-999.25,0.082538076,0.031196050345897675
4332.0,8.2,0.148,93.97,103.33,0.29,3.26,0.23,1.72,2.457,-999.25,-999.25,0.235043913,0.009161221794784069
4332.5,8.25,0.138,98.5,103.07,0.332,3.24,0.254,1.54,2.474,-999.25,-999.25,0.160864294,0.14649797976016998
4333.0,8.24,0.113,92.66,104.45,0.27,3.32,0.207,1.65,2.517,-999.25,-999.25,0.033598267,0.01774304173886776
4333.5,8.15,0.099,86.32,110.16,0.2,3.47,0.158,1.81,2.54,-999.25,-999.25,0.014483634,0.005218197125941515
