DEPT,TCMR,BVI,FFI,T2lm_BVI,T2lm_FFI,Permeability,Permeability_Core
3932.5,0.149024506,0.120273321,0.028751185,11.36430413,109.6315078,0.105908922,
3933.125,0.127679134,0.108270139,0.019408995,7.11058451,101.0155536,0.024251695,
3933.75,0.113637543,0.110136679,0.003500863,4.895996688,67.86517084,0.007210841,
3934.375,0.116744335,0.116954821,0,2.627076859,3.555453165,0.004915246,
3935,0.118925661,0.119572458,0,1.893235831,2.548664464,0.003870164,
3935.625,0.132846496,0.13097868,0.001867815,2.835442517,609.7863305,0.008390199,
3936.25,0.135156067,0.127166137,0.00798993,4.946241618,517.2468395,0.023838387,
3936.875,0.12670204,0.124099107,0.002602933,9.632452963,67.32239537,0.022848151,
3937.5,0.11573789,0.116661516,0,10.44068442,8.566653285,0.019339242,
3938.125,0.105508569,0.107062921,0,11.53093779,9.743138689,0.015150291,
3938.75,0.100962271,0.064734612,0.036227659,4.698741124,48.81670354,0.041873707,
3939.375,0.088957204,0.073465242,0.015491962,3.871022838,64.24941966,0.003505335,
3940,0.078386187,0.074802348,0.003583839,2.671309869,70.76885614,0.000844606,
3940.625,0.073745792,0.074541364,0,2.088591012,1.983151297,0.000644826,
3941.25,0.075380372,0.076186759,0,1.845856016,1.673624349,0.000621893,
3941.875,0.071565858,0.072325266,0,1.88233479,1.704572964,0.000515059,
3942.5,0.073742203,0.074253423,0,2.007977282,2.530748542,0.000610414,
3943.125,0.091065945,0.091174862,0,2.839534507,13.12356539,0.00196222,
3943.75,0.093364574,0.093565711,0,3.284722479,10.73854177,0.002517477,
3944.375,0.095867836,0.096478391,0,2.784336989,9.024791297,0.002412359,
3945,0.099565731,0.100504695,0,2.827979838,3.631661761,0.002885504,
3945.625,0.107285836,0.108184219,0,3.893090729,3.705577004,0.005332737,
3946.25,0.123975729,0.085394784,0.038580945,1.940140102,59.21932824,0.078731242,
3946.875,0.13446528,0.087593823,0.046871457,2.035668915,70.31096485,0.239803614,
3947.5,0.142721042,0.103967188,0.038753854,4.32526089,115.2722833,0.30476918,
3948.125,0.141221257,0.061171798,0.08004946,3.878835011,107.7994841,4.772175549,
3948.75,0.141795731,0.028727068,0.113068662,3.412362115,106.032502,18.37585628,
3949.375,0.145799205,0.029103579,0.116695627,3.492552752,91.21507122,15.42951334,
3950,0.160126519,0.05339566,0.106730859,5.06116615,82.2956142,8.788883939,
3950.625,0.171887477,0.060486775,0.111400702,5.149008734,68.89704998,7.311288272,
3951.25,0.196287583,0.0556848,0.140602783,5.123528953,60.57702288,14.34189164,
3951.875,0.207053489,0.146919836,0.060133653,28.33345196,80.42799001,0.9778477,
3952.5,0.215824851,0.037737187,0.178087664,6.211509713,61.27333556,37.76416124,
3953.125,0.207841391,0.107981591,0.099859799,21.91102451,71.73186071,5.146453925,
3953.75,0.196257168,0.030211497,0.166045671,2.894272899,66.57910003,33.69662345,
3954.375,0.186155606,0.022616422,0.163539183,2.749850999,67.23573159,32.33610199,
3955,0.193842849,0.032163498,0.161679351,7.374173207,72.31274823,35.73130877,
3955.625,0.210553617,0.098155607,0.11239801,19.57043371,86.67882224,12.00930679,
3956.25,0.207333347,0.119334195,0.087999151,13.00136858,86.86731306,4.551450988,
3956.875,0.166980289,0.122836932,0.044143357,7.404056191,111.9052609,0.492370269,
3957.5,0.117053021,0.099090665,0.017962357,2.660798716,135.9961916,0.021818698,
3958.125,0.092953332,0.088241181,0.004712151,1.871075874,784.7033123,0.00417033,
3958.75,0.082001304,0.08132244,0.000678865,2.021112317,142.4837795,0.000884002,
3959.375,0.077210236,0.076268514,0.000941722,2.292281439,195.0507723,0.000775919,
3960,0.079103433,0.078040221,0.001063211,2.050419185,159.1433424,0.000760854,
3960.625,0.096246625,0.086371725,0.0098749,1.600680237,446.8208388,0.019875255,
3961.25,0.112858979,0.113169307,0,1.57857925,5.384422589,0.002589292,
3961.875,0.10981783,0.110062161,0,1.779506464,8.297766345,0.00261127,
3962.5,0.104151251,0.104203461,0,2.32250795,6.967508049,0.00273833,
3963.125,0.118872906,0.113902266,0.00497064,1.803302798,1460.737151,0.016060748,
3963.75,0.12023533,0.117417813,0.002817517,1.610470719,848.2756629,0.003514641,
3964.375,0.108335912,0.104441591,0.003894321,1.507928373,469.6938638,0.002301623,
3965,0.09463114,0.094971802,0,2.223171538,6.897791878,0.001808638,
3965.625,0.107304264,0.107786339,0,4.448400015,6.211425098,0.006004249,
3966.25,0.137850608,0.119921886,0.017928721,7.347597153,57.32770103,0.018592021,
3966.875,0.153642698,0.132381031,0.021261667,11.69553542,130.4131654,0.070675097,
3967.5,0.143681537,0.131204802,0.012476735,17.03505345,416.4628584,0.092512389,
3968.125,0.138513759,0.088042166,0.050471593,13.67375355,104.5612456,0.717678497,
3968.75,0.159549573,0.07026246,0.089287113,11.26026813,109.2825903,7.593011866,
3969.375,0.193112548,0.111341562,0.081770986,16.59973123,103.1480963,4.78236029,
3970,0.217452523,0.172590446,0.044862077,19.63796448,80.74671293,0.438345533,
3970.625,0.218713687,0.161530288,0.057183399,11.44249791,47.30404247,0.317163327,
3971.25,0.182933954,0.150781287,0.032152667,8.925085144,53.21986233,0.076402199,
3971.875,0.146685123,0.12657844,0.020106684,3.978364713,52.94227848,0.014793841,
3972.5,0.114085034,0.110352386,0.003732648,2.343886252,114.4395986,0.003501292,
3973.125,0.108416622,0.100612436,0.007804186,1.695745851,217.0087621,0.003484558,
3973.75,0.114280051,0.10390808,0.010371971,1.658569703,884.9990032,0.092575707,
3974.375,0.12513547,0.11068958,0.014445889,1.652610199,1756.944623,1.346771845,
3975,0.131556134,0.119376907,0.012179226,1.457958863,1800.485681,0.716237766,
3975.625,0.132813224,0.112377907,0.020435316,1.94075903,1159.59586,2.348073184,
3976.25,0.115485416,0.093021721,0.022463696,3.35331894,397.3104179,0.404472557,
3976.875,0.107411248,0.096781653,0.010629594,10.04943024,486.6384415,0.039049738,
3977.5,0.104160383,0.086442191,0.017718192,10.76391258,94.33032869,0.014779593,
3978.125,0.111357624,0.110667937,0.000689687,11.13500974,192.81967,0.016702445,
3978.75,0.121653698,0.119741082,0.001912616,10.55088332,307.7409414,0.021702772,
3979.375,0.120074003,0.117453717,0.002620285,10.57310756,818.8019152,0.020437981,
3980,0.116689316,0.103801735,0.01288758,9.662361493,255.5283622,0.029229722,
3980.625,0.1023969,0.094441915,0.007954985,8.27165617,181.9961822,0.007906813,
3981.25,0.096468653,0.094556927,0.001911726,5.469995381,1193.768849,0.004563153,
3981.875,0.110401509,0.109755681,0.000645829,2.563748423,233.2081845,0.003720442,
3982.5,0.131519117,0.130133819,0.001385298,1.901066336,499.2088144,0.005461204,
3983.125,0.153065491,0.135293421,0.01777207,1.48167461,98.32528716,0.014608879,
3983.75,0.156164343,0.139391296,0.016773047,1.343508459,108.3718203,0.014367713,
3984.375,0.156556905,0.145586163,0.010970742,1.194550057,80.28051421,0.006300029,
3985,0.143507163,0.143905899,0,1.262823919,3.768283831,0.005415732,
3985.625,0.140740575,0.14102974,0,1.396823108,7.066493624,0.005525661,
3986.25,0.139489503,0.139634564,0,1.476831124,5.083606805,0.00561439,
3986.875,0.125381767,0.124483978,0.000897789,1.452445242,594.2343122,0.00349011,
3987.5,0.128110965,0.125880231,0.002230734,1.279485365,583.0808741,0.003296853,
3988.125,0.127494128,0.12450215,0.002991979,1.286805183,1082.332016,0.004030623,
3988.75,0.122524242,0.121267851,0.001256391,1.236239762,528.8629332,0.002680502,
3989.375,0.129617604,0.130037132,0,1.219658396,1.833581988,0.003487448,
3990,0.142089892,0.141694793,0.000395099,1.143301295,32.02611074,0.004608677,
3990.625,0.142549882,0.141651345,0.000898537,1.174489613,46.63174238,0.004728608,
3991.25,0.154099194,0.148498901,0.005600293,1.31687742,116.6615133,0.006537683,
3991.875,0.165212301,0.1567743,0.008438001,1.355100868,97.54746936,0.008668369,
3992.5,0.157043458,0.157264038,0,1.682797459,7.118609488,0.010293179,
3993.125,0.157598096,0.1579804,0,1.591414355,3.783966691,0.009912795,
3993.75,0.150342792,0.150599483,0,1.455571351,3.636818557,0.007487338,
3994.375,0.141016198,0.14128431,0,1.454598891,3.692701193,0.005795875,
3995,0.12195684,0.121077734,0.000879106,1.51963562,345.3886141,0.003266565,
3995.625,0.111076576,0.111196966,0,1.915495329,36.28128228,0.002928551,
3996.25,0.128221563,0.128460308,0,1.590626469,10.0178122,0.004331557,
3996.875,0.136093802,0.136520513,0,1.339125645,2.136378053,0.004651714,
3997.5,0.141173896,0.141532851,0,1.283393295,2.153755532,0.005149781,
3998.125,0.143902451,0.144146488,0,1.432148841,4.93612871,0.006183074,
3998.75,0.142312664,0.135193029,0.007119635,1.214840309,88.11989478,0.004257744,
3999.375,0.126404767,0.12181222,0.004592547,1.323998552,51.16400589,0.002926728,
4000,0.124600968,0.1204124,0.004188568,1.342991937,40.80184642,0.002828432,
4000.625,0.131183701,0.124658174,0.006525527,1.343828518,124.524986,0.003526265,
4001.25,0.137340795,0.131633033,0.005707762,1.293568654,82.25776923,0.003955545,
4001.875,0.142335664,0.135412447,0.006923217,1.227136137,80.09431157,0.004273359,
4002.5,0.141792864,0.135482773,0.006310091,1.210595003,44.59333471,0.004110353,
4003.125,0.140289779,0.140692703,0,1.406932177,3.599239138,0.005512638,
4003.75,0.139471001,0.132209758,0.007261243,1.229037869,63.28227321,0.00386641,
4004.375,0.13738523,0.129157793,0.008227437,1.248313836,52.9655425,0.003602354,
4005,0.155395414,0.144965489,0.010429925,1.148953898,150.4051725,0.007751136,
4005.625,0.159078254,0.149656535,0.009421718,1.178844495,684.5248689,0.042836588,
4006.25,0.157776639,0.149865489,0.00791115,1.176578848,1930.127951,0.151860434,
4006.875,0.156492738,0.153367076,0.003125662,1.170905686,1549.903087,0.008770999,
4007.5,0.151816479,0.151915865,0,1.177333856,2.649634037,0.006270644,
4008.125,0.144663707,0.144933683,0,1.271503275,8.510477942,0.005610413,
4008.75,0.141952321,0.140032216,0.001920105,1.380779552,323.8112376,0.005323539,
4009.375,0.13731271,0.136189749,0.001122961,1.212162368,8.621068543,0.004170024,
4010,0.137148776,0.1374343,0,1.193740882,1.380807536,0.004258833,
4010.625,0.146732608,0.147077643,0,1.200698066,1.380535871,0.005618501,
4011.25,0.140887033,0.14147707,0,1.281946922,1.904107289,0.005135873,
