DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE
4480.5,9.16,0.177,80.05,100.66,0.212,3.13,0.195,3,0.922,2.408,100.07,0.422205418
4481,9.14,0.201,74.86,107.47,0.248,3.24,0.226,3.81,0.864,2.366,100.23,6.13092947
4481.5,9.22,0.195,75.97,100.6,0.217,3.34,0.206,4.7,0.844,2.376,100.4,2.453637123
4482,8.36,0.179,79.29,123.72,0.203,3.39,0.191,4.83,0.801,2.403,100.63,0.557737708
4482.5,9.01,0.176,79.74,119.57,0.213,3.37,0.195,4.87,0.75,2.41,100.85,1.153679967
4483,9.51,0.197,80.04,121.52,0.257,3.3,0.229,4.22,0.668,2.373,101.25,3.926942587
4483.5,9.6,0.209,80.5,125.24,0.279,3.23,0.246,3.21,0.609,2.353,101.25,7.834159374
4484,9.63,0.197,82.04,126.75,0.25,3.22,0.225,2.5,0.571,2.373,101.21,2.467156887
4484.5,10.14,0.175,96.05,110.87,0.281,3.23,0.234,2.36,0.562,2.412,101.1,0.402777821
4485,9.98,0.17,93.19,115.41,0.343,3.28,0.271,2.76,0.56,2.419,101.06,0.091044836
4485.5,10.32,0.19,94.51,122.15,0.334,3.28,0.272,2.51,0.565,2.384,100.77,0.435226113
4486,10.24,0.197,93.84,124.48,0.295,3.3,0.251,2.59,0.564,2.373,100.43,0.88443315
4486.5,9.83,0.184,87.22,110.87,0.289,3.31,0.242,2.28,0.592,2.396,100.11,0.298899055
4487,9.62,0.172,80.47,114.02,0.314,3.33,0.253,2.17,0.628,2.416,99.61,0.143168122
4487.5,9.9,0.173,82.9,101.04,0.281,3.36,0.233,2.32,0.622,2.414,99.38,0.137715459
4488,9.86,0.184,81.68,92.29,0.283,3.39,0.239,3.12,0.672,2.395,99.1,1.708410621
4488.5,9.87,0.161,84.39,103.31,0.236,3.37,0.202,3.87,0.796,2.434,98.9,0.214163885
4489,8.22,0.106,76.98,91.59,0.188,3.35,0.153,3.56,0.848,2.529,98.71,0.007205711
4489.5,8.74,0.079,79.77,95.75,0.216,3.32,0.163,1.83,0.666,2.574,98.27,0.002164376
4490,8.72,0.089,74.93,93.99,0.228,3.3,0.173,1.87,0.562,2.558,98.36,0.002137758
4490.5,8.98,0.118,80.59,90.84,0.322,3.27,0.242,1.63,0.525,2.507,98.38,0.003740069
4491,8.7,0.146,101.67,70.8,0.309,3.25,0.242,2.5,0.48,2.461,98.13,0.372702003
4491.5,9,0.222,112.61,62.48,0.368,3.22,0.304,1.26,0.398,2.331,98.13,21.9628067
4492,8.4,0.297,121.59,97.89,0.705,3.13,0.541,0.88,0.346,2.201,98.13,4.54E-05
4492.5,8.41,0.351,150,90.27,0.699,2.95,0.553,0.68,0.311,2.11,98.13,4.54E-05
4493,8.31,0.351,148.42,101.8,0.53,2.81,0.45,0.56,0.307,2.11,98.01,0.453414887
4493.5,8.42,0.356,142.96,98.71,0.658,2.73,0.529,0.81,0.347,2.102,98.13,4.54E-05
4494,8.59,0.328,133.59,92.73,0.537,2.73,0.445,1.46,0.386,2.149,98.09,4.54E-05
4494.5,8.52,0.29,115.39,67.21,0.586,2.75,0.462,1.23,0.393,2.214,97.76,4.54E-05
4495,9.53,0.248,101.88,50.39,0.496,2.77,0.392,1.19,0.435,2.285,97.5,0.003192084
4495.5,9.6,0.246,101.59,56.82,0.507,2.8,0.398,1.15,0.449,2.29,97.46,0.010474733
4496,9.75,0.238,98.92,60.78,0.529,2.82,0.41,1.51,0.478,2.303,97.32,4.54E-05
4496.5,9.8,0.22,87.87,57.95,0.514,2.85,0.395,1.29,0.466,2.334,97.42,0.060402718
4497,9.16,0.183,91.36,53.41,0.427,2.88,0.328,1.3,0.467,2.397,97.24,3.308433771
4497.5,9.15,0.192,90.68,53.41,0.459,2.91,0.352,1.12,0.462,2.381,96.95,3.615882635
4498,9.42,0.207,89.74,70.55,0.483,2.94,0.372,1.56,0.509,2.357,97.39,0.074691605
4498.5,8.65,0.219,93.72,79.5,0.324,2.95,0.277,1.81,0.57,2.335,97.54,0.059399884
4499,8.81,0.214,83.24,86.87,0.322,2.94,0.273,1.77,0.579,2.344,97.94,0.028922174
4499.5,8.48,0.204,73.5,67.02,0.357,2.96,0.291,2.42,0.592,2.362,98.13,0.217794236
4500,8.49,0.144,69.87,47.24,0.307,3,0.24,2.14,0.553,2.463,98.13,5.872581601
4500.5,8.81,0.182,72.9,25.06,0.164,3.04,0.173,2.16,0.537,2.398,98.48,0.001288684
4501,8.13,0.291,96.11,15.23,0.126,3.1,0.224,1.03,0.395,2.212,98.91,0
