DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RHOB_D,RESD_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
7839.5,-0.072,60.43,-999.25,0.112,3.03,0.0,2.768,23.11,-999.25,0.0675,0.1755,0.0705,0.2716,0.202,-999.25,1.039,3.1066,0.0734,0.0829,0.0003,
7840.0,-0.069,56.24,-999.25,0.095,3.13,0.0,2.763,25.97,-999.25,0.0613,0.085,0.0337,0.1334,0.1233,-999.25,0.4861,1.2683,0.0303,0.05,0.0002,
7840.5,-0.065,52.49,-999.25,0.078,3.38,0.0,2.758,35.97,-999.25,0.0545,0.053,0.012,0.0489,0.067,-999.25,0.0891,0.1921,0.0085,0.0184,0.0001,
7841.0,-0.058,50.53,-999.25,0.064,3.73,0.0,2.746,44.1,-999.25,0.0635,0.0686,0.0051,0.0216,0.0364,-999.25,0.01,0.0195,0.003,0.0069,0.0,
7841.5,-0.06,50.14,-999.25,0.053,4.02,0.0,2.748,67.47,-999.25,0.056,0.0707,0.0032,0.0125,0.0208,-999.25,0.0021,0.0043,0.0014,0.0036,0.0,
7842.0,-0.065,50.79,-999.25,0.045,4.15,0.0,2.756,67.21,-999.25,0.0457,0.0608,0.0025,0.0098,0.0132,-999.25,0.0012,0.0022,0.0012,0.0025,0.0,
7842.5,-0.065,51.22,-999.25,0.038,4.27,0.0,2.757,50.59,-999.25,0.0355,0.0492,0.0018,0.0075,0.0084,-999.25,0.0007,0.0011,0.001,0.0016,0.0,
7843.0,-0.059,50.92,-999.25,0.03,4.46,0.0,2.748,89.11,-999.25,0.0209,0.0306,0.0013,0.0046,0.0049,-999.25,0.0002,0.0004,0.0005,0.0008,0.0,
7843.5,-0.051,50.28,-999.25,0.022,4.7,0.0,2.734,140.78,-999.25,0.0103,0.0132,0.0009,0.0025,0.0026,-999.25,0.0001,0.0001,0.0002,0.0004,0.0,
7844.0,-0.042,49.73,-999.25,0.016,4.88,0.0,2.719,174.82,-999.25,0.0048,0.0056,0.0006,0.0015,0.0016,-999.25,0.0,0.0,0.0001,0.0002,0.0,
