DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_0919,K_SDR,K_SDR_PRE
6097.0,0.066,56.5,-999.25,0.131,4.96,0.104,83.06,2.598,-999.25,0.3585,0.4471,0.5796,0.3226,0.1925,-999.25,0.0073,0.0061,0.0177,0.0044,0.0068,,0.26664269,
6097.5,0.073,56.81,-999.25,0.109,4.94,0.093,88.25,2.584,-999.25,0.1973,0.3233,0.4096,0.2603,0.1557,-999.25,0.0027,0.0027,0.0088,0.002,0.0041,,0.069135077,
6098.0,0.062,56.8,-999.25,0.097,4.96,0.081,71.12,2.604,-999.25,0.1011,0.1304,0.1914,0.1157,0.0932,-999.25,0.0011,0.0012,0.0043,0.0012,0.0026,,0.026575806,
6098.5,0.056,56.82,-999.25,0.112,4.97,0.089,44.06,2.615,-999.25,0.1482,0.1728,0.223,0.1402,0.1182,-999.25,0.002,0.002,0.0061,0.0022,0.004,,0.074920356,
6099.0,0.067,57.3,-999.25,0.144,4.99,0.112,24.25,2.595,-999.25,0.6401,0.8156,0.6335,0.4429,0.2325,-999.25,0.0099,0.0115,0.0219,0.0086,0.0092,,0.618882,
6099.5,0.08,59.3,-999.25,0.141,5.0,0.115,17.5,2.574,-999.25,1.2214,1.7271,0.8302,0.6698,0.2957,-999.25,0.009,0.0113,0.0223,0.0095,0.0097,,0.024145059,
6100.0,0.076,57.96,-999.25,0.13,5.02,0.106,20.66,2.58,-999.25,0.5853,0.9424,0.5888,0.4847,0.2388,-999.25,0.0055,0.0073,0.0133,0.0055,0.0075,,0.00149462,
6100.5,0.053,56.44,-999.25,0.093,5.03,0.076,45.82,2.62,-999.25,0.0596,0.0836,0.1091,0.0737,0.0724,-999.25,0.0007,0.0008,0.0025,0.001,0.0021,,4.54e-05,
6101.0,0.019,54.5,-999.25,0.041,5.04,0.032,91.2,2.678,-999.25,0.0032,0.0034,0.0059,0.0042,0.0067,-999.25,0.0,0.0,0.0002,0.0001,0.0002,,7.19e-05,
6101.5,-0.015,51.56,-999.25,0.037,5.06,0.0,161.15,2.735,-999.25,0.0018,0.0023,0.0027,0.0024,0.0063,-999.25,0.0,0.0,0.0,0.0,0.0001,,1e-05,
